"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 04월 06일","6,700","6,730","6,930","6,690","681.72K","-1.76%"
"2022년 04월 05일","6,820","7,110","7,150","6,800","1.85M","0.89%"
"2022년 04월 04일","6,760","6,730","6,890","6,620","1.32M","-2.87%"
"2022년 04월 03일","6,960","6,960","6,960","6,960","-","0.00%"
"2022년 04월 01일","6,960","7,170","7,270","6,890","1.16M","-1.69%"
"2022년 03월 31일","7,080","7,080","7,240","7,030","992.88K","-0.42%"
"2022년 03월 30일","7,110","7,300","7,380","7,050","1.79M","-1.39%"
"2022년 03월 29일","7,210","7,500","7,500","7,130","2.88M","-5.01%"
"2022년 03월 28일","7,590","7,240","7,950","7,200","15.74M","6.30%"
"2022년 03월 27일","7,140","7,140","7,140","7,140","-","0.00%"
"2022년 03월 25일","7,140","7,730","7,740","7,130","5.20M","-7.39%"
"2022년 03월 24일","7,710","7,130","8,400","7,000","33.96M","8.74%"
"2022년 03월 23일","7,090","6,830","7,160","6,760","5.78M","5.19%"
"2022년 03월 22일","6,740","6,860","6,870","6,570","1.66M","-1.03%"
"2022년 03월 21일","6,810","6,910","7,000","6,740","1.56M","-2.16%"
"2022년 03월 20일","6,960","6,960","6,960","6,960","-","0.00%"
"2022년 03월 18일","6,960","7,100","7,230","6,920","3.97M","-0.85%"
"2022년 03월 17일","7,020","6,950","7,090","6,620","4.00M","1.15%"
"2022년 03월 16일","6,940","7,200","7,370","6,860","6.54M","0.73%"
"2022년 03월 15일","6,890","6,950","7,330","6,720","8.75M","0.73%"
"2022년 03월 14일","6,840","6,600","7,440","6,460","30.05M","8.06%"
"2022년 03월 13일","6,330","6,330","6,330","6,330","-","0.00%"
"2022년 03월 11일","6,330","6,320","6,540","6,150","8.97M","4.63%"
"2022년 03월 10일","6,050","6,200","6,420","5,980","4.82M","0.50%"
"2022년 03월 09일","6,020","6,020","6,020","6,020","-","0.00%"
"2022년 03월 08일","6,020","6,750","6,910","5,970","14.36M","-4.44%"
"2022년 03월 07일","6,300","6,550","6,590","6,160","3.66M","-5.12%"
"2022년 03월 06일","6,640","6,640","6,640","6,640","-","0.00%"
"2022년 03월 04일","6,640","6,630","6,760","6,470","7.02M","0.15%"
"2022년 03월 03일","6,630","6,100","7,420","6,050","42.39M","12.18%"
"2022년 03월 02일","5,910","4,570","5,910","4,550","15.57M","29.89%"
"2022년 02월 28일","4,550","4,410","4,745","4,365","2.07M","3.17%"
"2022년 02월 27일","4,410","4,410","4,410","4,410","-","0.00%"
"2022년 02월 25일","4,410","4,445","4,485","4,350","704.46K","1.03%"
"2022년 02월 24일","4,365","4,595","4,595","4,345","904.13K","-5.01%"
"2022년 02월 23일","4,595","4,420","4,630","4,415","1.27M","4.08%"
"2022년 02월 22일","4,415","4,640","4,690","4,410","1.20M","-4.54%"
"2022년 02월 21일","4,625","4,615","4,870","4,585","2.14M","-0.86%"
"2022년 02월 20일","4,665","4,665","4,665","4,665","-","0.00%"
"2022년 02월 18일","4,665","4,920","5,100","4,650","11.34M","8.11%"
"2022년 02월 17일","4,315","4,340","4,435","4,210","457.54K","-0.58%"
"2022년 02월 16일","4,340","4,175","4,350","4,175","430.38K","6.37%"
"2022년 02월 15일","4,080","4,140","4,270","4,065","286.43K","-1.45%"
"2022년 02월 14일","4,140","4,180","4,230","4,055","292.41K","-2.59%"
"2022년 02월 11일","4,250","4,280","4,330","4,230","169.86K","-1.62%"
"2022년 02월 10일","4,320","4,410","4,420","4,320","215.96K","-2.04%"
"2022년 02월 09일","4,410","4,300","4,440","4,280","348.72K","3.52%"
"2022년 02월 08일","4,260","4,290","4,370","4,180","382.10K","-0.47%"
"2022년 02월 07일","4,280","4,220","4,280","4,175","290.64K","2.03%"
"2022년 02월 04일","4,195","4,100","4,200","4,060","280.99K","1.08%"
"2022년 02월 03일","4,150","4,000","4,160","4,000","507.20K","5.33%"
"2022년 02월 02일","3,940","3,940","3,940","3,940","-","0.00%"
"2022년 01월 28일","3,940","3,805","3,940","3,680","521.71K","3.96%"
"2022년 01월 27일","3,790","4,025","4,050","3,765","591.77K","-6.19%"
"2022년 01월 26일","4,040","3,900","4,100","3,890","495.48K","2.54%"
"2022년 01월 25일","3,940","4,110","4,180","3,890","658.24K","-3.90%"
"2022년 01월 24일","4,100","4,235","4,280","4,080","493.37K","-4.65%"
"2022년 01월 23일","4,300","4,300","4,300","4,300","-","0.00%"
"2022년 01월 21일","4,300","4,315","4,410","4,270","444.64K","-1.60%"
"2022년 01월 20일","4,370","4,325","4,510","4,325","533.20K","1.27%"
"2022년 01월 19일","4,315","4,260","4,395","4,235","407.12K","-1.26%"
"2022년 01월 18일","4,370","4,535","4,620","4,355","589.93K","-4.17%"
"2022년 01월 17일","4,560","4,820","4,855","4,535","1.18M","-7.51%"
"2022년 01월 16일","4,930","4,930","4,930","4,930","-","0.00%"
"2022년 01월 14일","4,930","4,900","5,000","4,845","896.92K","1.02%"
"2022년 01월 13일","4,880","4,770","5,000","4,765","1.54M","2.74%"
"2022년 01월 12일","4,750","4,660","4,810","4,600","829.37K","1.93%"
"2022년 01월 11일","4,660","4,765","4,820","4,560","1.13M","-2.20%"
"2022년 01월 10일","4,765","5,090","5,180","4,765","1.67M","-5.64%"
"2022년 01월 09일","5,050","5,050","5,050","5,050","-","0.00%"
"2022년 01월 07일","5,050","5,150","5,150","4,920","2.37M","-4.17%"
"2022년 01월 06일","5,270","5,800","5,950","5,270","4.34M","-12.89%"
"2022년 01월 05일","6,050","5,560","6,450","5,540","19.44M","8.81%"
"2022년 01월 04일","5,560","5,350","5,780","5,230","12.87M","6.11%"
"2022년 01월 03일","5,240","5,180","5,490","4,950","9.43M","-0.19%"
"2021년 12월 30일","5,250","4,975","5,470","4,925","10.08M","6.28%"
"2021년 12월 29일","4,940","5,000","5,090","4,840","3.19M","2.28%"
"2021년 12월 28일","4,830","4,870","5,150","4,750","4.86M","1.26%"
"2021년 12월 27일","4,770","5,190","5,230","4,745","3.81M","-9.66%"
"2021년 12월 26일","5,280","5,280","5,280","5,280","-","0.00%"
"2021년 12월 24일","5,280","4,730","5,560","4,620","18.12M","14.91%"
"2021년 12월 23일","4,595","4,630","4,850","4,450","3.64M","1.10%"
"2021년 12월 22일","4,545","4,450","4,610","4,435","647.63K","2.94%"
"2021년 12월 21일","4,415","4,400","4,430","4,265","324.02K","0.34%"
"2021년 12월 20일","4,400","4,555","4,555","4,390","595.31K","-3.40%"
"2021년 12월 17일","4,555","4,515","4,650","4,460","623.17K","0.77%"
"2021년 12월 16일","4,520","4,630","4,675","4,480","643.28K","-1.31%"
"2021년 12월 15일","4,580","4,540","4,650","4,510","552.96K","1.55%"
"2021년 12월 14일","4,510","4,500","4,545","4,455","474.18K","-0.55%"
"2021년 12월 13일","4,535","4,535","4,620","4,525","409.24K","0.11%"
"2021년 12월 10일","4,530","4,570","4,605","4,470","430.50K","-1.09%"
"2021년 12월 09일","4,580","4,485","4,645","4,485","757.66K","2.23%"
"2021년 12월 08일","4,480","4,575","4,680","4,470","758.90K","-1.21%"
"2021년 12월 07일","4,535","4,525","4,615","4,465","801.08K","1.11%"
"2021년 12월 06일","4,485","4,465","4,590","4,330","916.09K","-1.21%"
"2021년 12월 05일","4,540","4,540","4,540","4,540","-","0.00%"
"2021년 12월 03일","4,540","4,385","4,540","4,280","725.56K","5.34%"
"2021년 12월 02일","4,310","4,240","4,370","4,145","457.72K","0.58%"
"2021년 12월 01일","4,285","4,010","4,305","3,990","897.96K","5.80%"
"2021년 11월 30일","4,050","4,445","4,500","3,990","1.22M","-4.71%"
"2021년 11월 29일","4,250","4,205","4,385","4,060","765.59K","-2.41%"
"2021년 11월 26일","4,355","4,505","4,605","4,335","732.52K","-3.76%"
"2021년 11월 25일","4,525","4,610","4,615","4,520","366.49K","-1.84%"
"2021년 11월 24일","4,610","4,720","4,735","4,560","689.09K","-2.12%"
"2021년 11월 23일","4,710","4,595","4,890","4,545","1.19M","2.17%"
"2021년 11월 22일","4,610","4,610","4,635","4,455","665.35K","0.00%"
"2021년 11월 19일","4,610","4,650","4,760","4,575","729.27K","-0.75%"
"2021년 11월 18일","4,645","4,530","4,715","4,330","1.01M","2.77%"
"2021년 11월 17일","4,520","4,740","4,750","4,505","895.17K","-4.34%"
"2021년 11월 16일","4,725","4,780","4,825","4,675","941.37K","-1.05%"
"2021년 11월 15일","4,775","4,810","4,850","4,630","1.07M","0.32%"
"2021년 11월 14일","4,760","4,760","4,760","4,760","-","0.00%"
"2021년 11월 12일","4,760","4,520","4,820","4,500","1.76M","5.31%"
"2021년 11월 11일","4,520","4,655","4,770","4,450","2.00M","-3.42%"
"2021년 11월 10일","4,680","4,460","4,800","4,460","3.63M","3.77%"
"2021년 11월 09일","4,510","4,530","4,645","4,400","2.40M","0.11%"
"2021년 11월 08일","4,505","4,575","4,670","4,385","4.38M","-4.96%"
"2021년 11월 07일","4,740","4,740","4,740","4,740","-","0.00%"
"2021년 11월 05일","4,740","6,760","7,730","4,740","23.15M","-29.99%"
"2021년 11월 04일","6,770","7,780","7,970","6,410","4.73M","-11.73%"
"2021년 11월 03일","7,670","8,050","8,260","7,590","2.93M","-6.58%"
"2021년 11월 02일","8,210","7,580","8,680","7,530","9.74M","6.76%"
"2021년 11월 01일","7,690","7,800","7,930","7,230","3.80M","0.26%"
"2021년 10월 31일","7,670","7,670","7,670","7,670","-","0.00%"
"2021년 10월 29일","7,670","8,000","8,330","7,510","3.53M","-5.07%"
"2021년 10월 28일","8,080","8,400","8,490","8,080","1.73M","-6.16%"
"2021년 10월 27일","8,610","8,750","9,110","8,320","3.44M","-1.26%"
"2021년 10월 26일","8,720","8,930","9,170","8,550","5.82M","4.93%"
"2021년 10월 25일","8,310","8,900","8,950","7,900","4.31M","-8.58%"
"2021년 10월 24일","9,090","9,090","9,090","9,090","-","0.00%"
"2021년 10월 22일","9,090","8,920","9,430","8,890","2.43M","0.33%"
"2021년 10월 21일","9,060","9,700","9,700","8,800","1.95M","-5.53%"
"2021년 10월 20일","9,590","9,890","10,200","9,400","3.00M","2.35%"
"2021년 10월 19일","9,370","9,960","10,100","9,250","2.51M","-5.45%"
"2021년 10월 18일","9,910","10,550","10,600","9,770","1.71M","-5.17%"
"2021년 10월 17일","10,450","10,450","10,450","10,450","-","0.00%"
"2021년 10월 15일","10,450","10,150","11,000","10,100","6.05M","2.96%"
"2021년 10월 14일","10,150","10,200","10,200","9,680","2.57M","1.81%"
"2021년 10월 13일","9,970","10,050","10,150","9,660","2.33M","1.73%"
"2021년 10월 12일","9,800","9,910","10,850","9,480","6.17M","3.16%"
"2021년 10월 11일","9,500","9,500","9,500","9,500","-","0.00%"
"2021년 10월 08일","9,500","10,000","11,150","8,920","13.22M","-5.94%"
"2021년 10월 07일","10,100","8,270","10,250","8,180","11.52M","26.41%"
"2021년 10월 06일","7,990","9,540","9,610","7,730","2.77M","-16.25%"
