"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 01월 29일","1,715","1,780","1,800","1,695","818.01K","-3.65%"
"2021년 01월 28일","1,780","1,790","1,810","1,775","523.29K","-2.47%"
"2021년 01월 27일","1,825","1,845","1,845","1,805","398.28K","-0.27%"
"2021년 01월 26일","1,830","1,855","1,860","1,810","349.53K","-1.35%"
"2021년 01월 25일","1,855","1,825","1,885","1,825","896.28K","1.92%"
"2021년 01월 22일","1,820","1,835","1,850","1,805","510.97K","-1.36%"
"2021년 01월 21일","1,845","1,815","1,850","1,810","828.41K","1.37%"
"2021년 01월 20일","1,820","1,835","1,845","1,805","590.25K","0.00%"
"2021년 01월 19일","1,820","1,815","1,825","1,780","677.42K","0.83%"
"2021년 01월 18일","1,805","1,825","1,935","1,805","6.34M","0.00%"
"2021년 01월 15일","1,805","1,815","1,825","1,790","516.05K","0.28%"
"2021년 01월 14일","1,800","1,760","1,815","1,760","784.84K","2.27%"
"2021년 01월 13일","1,760","1,750","1,785","1,750","181.90K","0.57%"
"2021년 01월 12일","1,750","1,755","1,785","1,720","383.07K","-0.28%"
"2021년 01월 11일","1,755","1,805","1,805","1,735","539.96K","-2.23%"
"2021년 01월 08일","1,795","1,835","1,835","1,760","378.05K","-1.64%"
"2021년 01월 07일","1,825","1,825","1,850","1,815","440.84K","0.00%"
"2021년 01월 06일","1,825","1,810","1,830","1,795","581.44K","1.39%"
"2021년 01월 05일","1,800","1,785","1,810","1,770","318.28K","0.84%"
"2021년 01월 04일","1,785","1,775","1,785","1,755","304.10K","1.13%"
"2020년 12월 30일","1,765","1,740","1,770","1,740","198.98K","1.44%"
"2020년 12월 29일","1,740","1,725","1,755","1,725","121.17K","0.00%"
"2020년 12월 28일","1,740","1,755","1,765","1,735","208.46K","-0.29%"
"2020년 12월 24일","1,745","1,740","1,750","1,730","141.32K","0.58%"
"2020년 12월 23일","1,735","1,755","1,770","1,715","408.73K","-0.86%"
"2020년 12월 22일","1,750","1,790","1,790","1,735","454.09K","-2.23%"
"2020년 12월 21일","1,790","1,775","1,800","1,760","381.55K","0.85%"
"2020년 12월 18일","1,775","1,765","1,780","1,760","196.07K","1.14%"
"2020년 12월 17일","1,755","1,790","1,795","1,755","560.98K","-2.23%"
"2020년 12월 16일","1,795","1,805","1,810","1,785","204.66K","-0.28%"
"2020년 12월 15일","1,800","1,820","1,820","1,785","324.82K","-1.10%"
"2020년 12월 14일","1,820","1,825","1,830","1,805","247.02K","0.28%"
"2020년 12월 11일","1,815","1,835","1,840","1,810","349.02K","-0.82%"
"2020년 12월 10일","1,830","1,840","1,845","1,820","244.31K","-0.54%"
"2020년 12월 09일","1,840","1,820","1,840","1,820","322.33K","1.10%"
"2020년 12월 08일","1,820","1,835","1,845","1,810","350.40K","-0.55%"
"2020년 12월 07일","1,830","1,830","1,840","1,805","245.89K","0.55%"
"2020년 12월 04일","1,820","1,830","1,840","1,805","263.63K","-0.27%"
"2020년 12월 03일","1,825","1,855","1,865","1,820","304.58K","-1.35%"
"2020년 12월 02일","1,850","1,830","1,860","1,810","611.33K","2.21%"
"2020년 12월 01일","1,810","1,805","1,820","1,805","172.92K","-0.28%"
"2020년 11월 30일","1,815","1,855","1,875","1,810","626.30K","0.55%"
"2020년 11월 27일","1,805","1,820","1,825","1,800","170.42K","-0.28%"
"2020년 11월 26일","1,810","1,795","1,815","1,790","126.64K","0.84%"
"2020년 11월 25일","1,795","1,850","1,855","1,770","597.05K","-2.97%"
"2020년 11월 24일","1,850","1,845","1,855","1,835","323.49K","0.27%"
"2020년 11월 23일","1,845","1,865","1,865","1,840","408.09K","-1.07%"
"2020년 11월 22일","1,865","1,865","1,865","1,865","-","0.00%"
"2020년 11월 20일","1,865","1,855","1,870","1,830","564.70K","0.54%"
"2020년 11월 19일","1,855","1,850","1,860","1,825","371.23K","-0.54%"
