"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 12일","8,860","8,940","9,080","8,670","92.22K","-5.64%"
"2020년 06월 11일","9,390","9,300","10,150","9,200","873.47K","1.62%"
"2020년 06월 10일","9,240","9,670","9,700","9,000","93.79K","-4.45%"
"2020년 06월 09일","9,670","9,710","9,860","9,550","174.68K","-3.20%"
"2020년 06월 08일","9,990","9,390","10,300","9,220","832.08K","9.18%"
"2020년 06월 05일","9,150","9,190","9,190","9,020","76.27K","1.55%"
"2020년 06월 04일","9,010","9,020","9,100","8,880","32.29K","0.00%"
"2020년 06월 03일","9,010","9,030","9,330","8,930","56.30K","0.22%"
"2020년 06월 02일","8,990","8,950","9,050","8,880","19.09K","0.56%"
"2020년 06월 01일","8,940","8,860","9,030","8,850","17.15K","1.02%"
"2020년 05월 29일","8,850","8,900","9,250","8,600","57.83K","-0.78%"
"2020년 05월 28일","8,920","9,150","9,200","8,840","34.59K","-2.62%"
"2020년 05월 27일","9,160","9,050","9,170","8,940","25.54K","2.23%"
"2020년 05월 26일","8,960","9,080","9,080","8,820","12.58K","0.56%"
"2020년 05월 25일","8,910","9,010","9,140","8,850","14.87K","-1.11%"
"2020년 05월 22일","9,010","9,210","9,250","8,970","26.41K","-2.07%"
"2020년 05월 21일","9,200","9,250","9,290","9,100","29.01K","0.44%"
"2020년 05월 20일","9,160","9,090","9,250","9,050","20.47K","0.77%"
"2020년 05월 19일","9,090","9,410","9,410","9,060","48.43K","1.56%"
