"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 11월 19일","6,290","6,280","6,350","6,260","131.44K","0.00%"
"2020년 11월 18일","6,290","6,380","6,430","6,290","265.88K","-0.32%"
"2020년 11월 17일","6,310","6,370","6,570","6,230","579.06K","0.96%"
"2020년 11월 16일","6,250","6,250","6,290","6,210","163.32K","-0.64%"
"2020년 11월 13일","6,290","6,220","6,300","6,140","231.56K","0.96%"
"2020년 11월 12일","6,230","6,400","6,400","6,200","301.91K","-1.11%"
"2020년 11월 11일","6,300","6,300","6,480","6,290","433.00K","0.80%"
"2020년 11월 10일","6,250","6,720","6,780","6,250","1.84M","2.12%"
"2020년 11월 09일","6,120","6,050","6,120","6,040","259.46K","0.66%"
"2020년 11월 08일","6,080","6,080","6,080","6,080","-","0.00%"
"2020년 11월 06일","6,080","6,120","6,130","6,010","371.36K","-1.14%"
"2020년 11월 05일","6,150","6,120","6,230","5,850","1.32M","-4.35%"
"2020년 11월 04일","6,430","6,140","7,100","6,030","6.95M","5.93%"
"2020년 11월 03일","6,070","6,480","6,750","6,050","735.76K","2.02%"
"2020년 11월 02일","5,950","5,880","5,950","5,850","63.40K","0.34%"
"2020년 10월 30일","5,930","5,990","5,990","5,930","52.82K","-1.66%"
"2020년 10월 29일","6,030","5,960","6,040","5,900","63.66K","-0.17%"
"2020년 10월 28일","6,040","5,900","6,040","5,900","57.53K","1.85%"
"2020년 10월 27일","5,930","5,920","6,240","5,920","247.79K","-0.34%"
"2020년 10월 26일","5,950","6,130","6,230","5,950","131.65K","-2.94%"
"2020년 10월 23일","6,130","6,100","6,240","6,030","98.86K","0.49%"
"2020년 10월 22일","6,100","6,060","6,150","6,060","75.62K","-1.13%"
"2020년 10월 21일","6,170","6,100","6,200","6,040","71.78K","1.15%"
"2020년 10월 20일","6,100","6,400","6,500","6,080","579.22K","-0.81%"
"2020년 10월 19일","6,150","6,050","6,150","5,950","94.97K","1.65%"
"2020년 10월 16일","6,050","6,100","6,120","5,970","108.15K","-0.49%"
"2020년 10월 15일","6,080","6,130","6,160","6,000","156.83K","-0.49%"
"2020년 10월 14일","6,110","6,290","6,290","6,110","124.24K","-1.61%"
"2020년 10월 13일","6,210","6,290","6,290","6,160","92.69K","-0.64%"
"2020년 10월 12일","6,250","6,270","6,300","6,170","88.57K","-0.32%"
"2020년 10월 08일","6,270","6,360","6,410","6,220","146.09K","-1.26%"
"2020년 10월 07일","6,350","6,280","6,350","6,230","151.01K","1.93%"
"2020년 10월 06일","6,230","6,400","6,560","6,190","490.08K","-0.32%"
"2020년 10월 05일","6,250","6,090","6,270","6,080","187.64K","-0.16%"
"2020년 09월 29일","6,260","6,210","6,440","6,150","528.15K","3.30%"
"2020년 09월 28일","6,060","5,910","6,090","5,910","137.33K","2.19%"
"2020년 09월 25일","5,930","5,930","6,070","5,810","184.53K","0.17%"
"2020년 09월 24일","5,920","6,000","6,080","5,860","301.09K","-2.79%"
"2020년 09월 23일","6,090","6,230","6,300","6,060","250.31K","-1.62%"
"2020년 09월 22일","6,190","6,260","6,390","6,180","468.84K","-3.73%"
"2020년 09월 21일","6,430","6,570","6,930","6,360","1.41M","-2.43%"
"2020년 09월 20일","6,590","6,590","6,590","6,590","-","0.00%"
"2020년 09월 18일","6,590","6,750","6,980","6,350","1.60M","-1.35%"
"2020년 09월 17일","6,680","6,200","7,580","6,170","14.54M","9.51%"
"2020년 09월 16일","6,100","6,000","6,500","5,960","565.27K","1.84%"
"2020년 09월 15일","5,990","6,030","6,030","5,960","58.70K","-0.50%"
"2020년 09월 14일","6,020","5,970","6,050","5,900","72.20K","0.50%"
"2020년 09월 11일","5,990","5,970","6,060","5,960","76.50K","-0.33%"
"2020년 09월 10일","6,010","6,040","6,040","5,960","58.18K","0.33%"
"2020년 09월 09일","5,990","5,910","6,060","5,900","78.21K","-0.66%"
"2020년 09월 08일","6,030","6,000","6,070","6,000","62.52K","0.00%"
"2020년 09월 07일","6,030","5,950","6,100","5,900","103.21K","1.34%"
"2020년 09월 06일","5,950","5,950","5,950","5,950","-","0.00%"
"2020년 09월 04일","5,950","5,820","6,000","5,820","89.95K","-1.82%"
"2020년 09월 03일","6,060","6,030","6,080","6,000","75.08K","0.50%"
"2020년 09월 02일","6,030","6,000","6,060","5,990","70.56K","0.50%"
"2020년 09월 01일","6,000","6,080","6,080","5,970","70.36K","-0.99%"
"2020년 08월 31일","6,060","6,030","6,130","5,970","87.35K","0.50%"
"2020년 08월 28일","6,030","6,110","6,120","6,000","103.94K","-1.31%"
"2020년 08월 27일","6,110","6,140","6,200","6,000","101.09K","-0.49%"
"2020년 08월 26일","6,140","6,100","6,250","6,040","112.68K","1.99%"
"2020년 08월 25일","6,020","6,020","6,140","5,780","153.96K","0.67%"
