일자,총수익지수_종가,총수익지수_대비,순가격지수_종가,순가격지수_대비,제로재투자지수_종가,제로재투자지수_대비,콜재투자지수_종가,콜재투자지수_대비,시장가격지수_종가,시장가격지수_대비,듀레이션,컨벡시티,YTM
"2021/11/26","183.54","0.77","111.49","0.46",,,,,,,"4.479","29.963","2.001"
"2021/11/25","182.77","0.51","111.03","0.30",,,,,,,"4.472","29.887","2.090"
"2021/11/24","182.26","0.09","110.73","0.05",,,,,,,"4.471","29.863","2.158"
"2021/11/23","182.17","-0.08","110.68","-0.05",,,,,,,"4.475","29.904","2.172"
"2021/11/22","182.25","-0.25","110.73","-0.16",,,,,,,"4.478","29.961","2.158"
"2021/11/19","182.50","-0.18","110.89","-0.12",,,,,,,"4.488","30.049","2.116"
"2021/11/18","182.68","0.12","111.01","0.07",,,,,,,"4.493","30.106","2.096"
"2021/11/17","182.56","-0.13","110.94","-0.09",,,,,,,"4.495","30.115","2.111"
"2021/11/16","182.69","-0.33","111.03","-0.20",,,,,,,"4.500","30.172","2.096"
"2021/11/15","183.02","0.43","111.23","0.26",,,,,,,"4.498","30.136","2.053"
"2021/11/12","182.59","-0.19","110.97","-0.13",,,,,,,"4.502","30.168","2.104"
"2021/11/11","182.78","-0.24","111.10","-0.15",,,,,,,"4.506","30.195","2.067"
"2021/11/10","183.02","-0.03","111.25","-0.02",,,,,,,"4.516","30.305","2.037"
"2021/11/09","183.05","0.29","111.27","0.17",,,,,,,"4.523","30.385","2.032"
"2021/11/08","182.76","0.20","111.10","0.12",,,,,,,"4.526","30.414","2.066"
"2021/11/05","182.56","0.70","110.98","0.42",,,,,,,"4.521","30.350","2.091"
"2021/11/04","181.86","0.26","110.56","0.15",,,,,,,"4.517","30.286","2.179"
"2021/11/03","181.60","0.09","110.41","0.05",,,,,,,"4.515","30.250","2.199"
"2021/11/02","181.51","0.38","110.36","0.23",,,,,,,"4.516","30.262","2.207"
"2021/11/01","181.13","0.46","110.13","0.27",,,,,,,"4.517","30.265","2.260"
"2021/10/29","180.67","-1.25","109.86","-0.77",,,,,,,"4.516","30.229","2.295"
"2021/10/28","181.92","0.58","110.63","0.34",,,,,,,"4.539","30.509","2.165"
"2021/10/27","181.34","-0.41","110.29","-0.25",,,,,,,"4.532","30.410","2.219"
"2021/10/26","181.75","-0.22","110.54","-0.13",,,,,,,"4.536","30.448","2.154"
"2021/10/25","181.97","-0.18","110.67","-0.12",,,,,,,"4.543","30.562","2.127"
"2021/10/22","182.15","-0.29","110.79","-0.19",,,,,,,"4.539","30.510","2.095"
"2021/10/21","182.44","0.04","110.98","0.02",,,,,,,"4.539","30.497","2.051"
"2021/10/20","182.40","-0.01","110.96","-0.01",,,,,,,"4.541","30.516","2.057"
"2021/10/19","182.41","0.15","110.97","0.09",,,,,,,"4.545","30.551","2.061"
"2021/10/18","182.26","-0.47","110.88","-0.30",,,,,,,"4.533","30.394","2.075"
"2021/10/15","182.73","0.05","111.18","0.02",,,,,,,"4.545","30.520","2.007"
"2021/10/14","182.68","0.28","111.16","0.17",,,,,,,"4.549","30.558","2.019"
"2021/10/13","182.40","0.21","110.99","0.12",,,,,,,"4.551","30.566","2.042"
"2021/10/12","182.19","-0.72","110.87","-0.44",,,,,,,"4.556","30.618","2.056"
"2021/10/08","182.91","0.11","111.31","0.05",,,,,,,"4.573","30.807","1.956"
"2021/10/07","182.80","0.18","111.26","0.11",,,,,,,"4.575","30.814","1.966"
"2021/10/06","182.62","-0.85","111.15","-0.53",,,,,,,"4.575","30.811","1.986"
"2021/10/05","183.47","-0.19","111.68","-0.12",,,,,,,"4.590","30.997","1.893"
"2021/10/01","183.66","-0.25","111.80","-0.17",,,,,,,"4.605","31.144","1.870"
"2021/09/30","183.91","1.92","111.97","1.17",,,,,,,"4.609","31.192","1.835"
"2021/09/29","181.99","0.11","110.80","0.07",,,,,,,"4.610","31.281","2.093"
"2021/09/28","181.88","-0.54","110.73","-0.34",,,,,,,"4.610","31.276","2.100"
"2021/09/27","182.42","-0.11","111.07","-0.07",,,,,,,"4.623","31.464","2.039"
"2021/09/24","182.53","-0.35","111.14","-0.23",,,,,,,"4.634","31.577","2.028"
