FAO Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
19-Jan,93.3,92.3,100.9,101.8,80.26,79.3
19-Feb,94,93.1,103.8,100.7,81.78,80.3
19-Mar,93.2,94.6,105.6,97.5,78.41,78.7
19-Apr,93.6,97.8,106.1,94.6,79.11,79.3
19-May,94.3,100.5,106.6,94.4,78.5,76.7
19-Jun,95.4,101.2,102.9,99.2,77.46,79.9
19-Jul,95.1,102.4,101.1,97.6,78.09,79.4
19-Aug,94.1,102.3,100.3,92.6,82.59,76.2
19-Sep,93.4,101,99.6,91.8,83.89,73.5
19-Oct,95.2,101.6,100.8,96,84.11,77.8
19-Nov,98.6,106.5,102.5,95.6,93.16,79.2
19-Dec,101,106.6,103.5,97.4,101.5,83
20-Jan,102.5,103.6,103.8,100.7,108.73,87.5
20-Feb,99.4,100.5,102.9,99.6,97.55,91.4
20-Mar,95.2,99.4,101.5,98,85.42,73.9
20-Apr,92.5,96.9,95.8,99.6,81.18,63.2
20-May,91.1,95.4,94.4,98,77.77,67.8
20-Jun,93.3,94.8,98.3,97.3,86.61,74.9
20-Jul,94,92.2,101.8,97.3,93.2,76
20-Aug,95.9,92.2,102.1,99.2,98.7,81.1
20-Sep,98,91.5,102.3,104.3,104.6,79
20-Oct,101.4,91.8,104.5,112.1,106.45,84.7
20-Nov,105.6,93.3,105.4,114.8,121.9,87.5
20-Dec,108.6,94.8,109.2,116.4,131.2,87.1
21-Jan,113.5,96,111.2,125,138.87,94.2
21-Feb,116.6,97.8,113.1,126.1,147.46,100.2
21-Mar,119.2,100.8,117.5,123.9,159.3,96.2
21-Apr,122.1,104.3,119.1,126.2,162.19,100
21-May,128.1,107.4,121.1,133.7,174.9,106.8
21-Jun,125.3,110.7,119.9,130.3,157.7,107.7
21-Jul,124.6,114.1,116.7,126.3,155.5,109.6
21-Aug,128,113.4,116.2,130.4,165.9,120.5
21-Sep,129.2,112.7,118.1,132.8,168.6,121.2
21-Oct,133.2,112,121.5,137.1,184.8,119.1
21-Nov,135.3,112.5,126,141.4,184.6,120.2
21-Dec,133.7,111,129,140.5,178.5,116.4
22-Jan,135.6,112.1,132.6,140.6,185.9,112.7
22-Feb,141.1,113.4,141.5,145.3,201.7,110.5
22-Mar,159.7,119.3,145.8,170.1,251.8,117.9
22-Apr,158.4,121.9,146.7,169.7,237.5,121.5
22-May,157.9,122.7,143.9,173.5,229.2,120.4
22-Jun,154.2,124.7,149.8,166.3,211.8,117.3
